游戏名字,游戏链接,解压码/激活码,天翼/迅雷下载链接,百度网盘下载链接,提取码,游戏名称,游戏类型,其他了
元素：太空 增强版/Element Space,https://lingdiankj.cn/plus/view.php?aid=3139,427195,https://cloud.189.cn/t/vErA3qrYjuQj,https://pan.baidu.com/s/156an-ABHlIf3rPjz-DUFkg,6xhh,元素：太空 增强版/Element Space,[{"游戏类型":""}],"[{""其他了"":""天翼下载链接：https://cloud.189.cn/t/vErA3qrYjuQj""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/156an-ABHlIf3rPjz-DUFkg""},{""其他了"":""提取码：""},{""其他了"":""6xhh""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
桌面养成猫娘宠物/Desktop NEKO Girl,https://lingdiankj.cn/plus/view.php?aid=2876,928723,https://cloud.189.cn/t/VFneqenmaEv2,https://pan.baidu.com/s/1Ocqez9xSnCFKutwgr20W1Q,天翼/迅雷下载方法：,桌面养成猫娘宠物/Desktop NEKO Girl,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/VFneqenmaEv2""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1Ocqez9xSnCFKutwgr20W1Q 提取码：ek12""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
空战猎鹰/The Falconeer（整合猎人DLC）,https://lingdiankj.cn/plus/view.php?aid=1938,613234,https://cloud.189.cn/t/Bf6vyyNBzu6j,https://pan.baidu.com/s/1qZQQXYKqraX6zXlgU0w_8g,vex7,空战猎鹰/The Falconeer（整合猎人DLC）,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/Bf6vyyNBzu6j""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1qZQQXYKqraX6zXlgU0w_8g? 提取码：""},{""其他了"":""vex7""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
女主播经纪公司/Streamers Company Tycoon,https://lingdiankj.cn/plus/view.php?aid=4247,541221,https://cloud.189.cn/t/ANR73iUriAB3,https://pan.baidu.com/s/1AkGYhrDNMaxcjIpbVVy69A,天翼下载方法：,女主播经纪公司/Streamers Company Tycoon,[{"游戏类型":""}],"[{""其他了"":""天翼云下载链接：https://cloud.189.cn/t/ANR73iUriAB3""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1AkGYhrDNMaxcjIpbVVy69A提取码：""},{""其他了"":""1fs6""},{""其他了"":""天翼下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
阿泰诺之刃2：导演回放/AeternoBlade II: Directors Re,https://lingdiankj.cn/plus/view.php?aid=2099,971354,https://cloud.189.cn/t/nAVfievEVrEf,https://pan.baidu.com/s/15Ppxl_3lFcmc6AfyEodyjw,天翼/迅雷下载方法：,阿泰诺之刃2：导演回放/AeternoBlade II: Directors Re,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/nAVfievEVrEf""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/15Ppxl_3lFcmc6AfyEodyjw 提取码：j5c9""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
瞬变/Transient（v0.119）,https://lingdiankj.cn/plus/view.php?aid=2084,339511,https://cloud.189.cn/t/Q7bUbmJnInU3,https://pan.baidu.com/s/16z--EB915K5n9s4G-zmOlg,天翼/迅雷下载方法：,瞬变/Transient（v0.119）,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/Q7bUbmJnInU3""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/16z--EB915K5n9s4G-zmOlg""},{""其他了"":""提取码：nnet""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
六角细胞：无限/Hexcells Infinite,https://lingdiankj.cn/plus/view.php?aid=3253,156274,https://cloud.189.cn/t/ayI7b2RZzMRr,https://pan.baidu.com/s/1c2hxwBcmwuK7MGjPyEjV9w,天翼/迅雷下载方法：,六角细胞：无限/Hexcells Infinite,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/ayI7b2RZzMRr""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1c2hxwBcmwuK7MGjPyEjV9w 提取码：291g""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
大佬竞速/Hotshot Racing,https://lingdiankj.cn/plus/view.php?aid=2175,383898,https://cloud.189.cn/t/BNZNny2Ybmyy,https://pan.baidu.com/s/1J5MT0VpBDtKbqf7cmrrhEA,天翼/迅雷下载方法：,大佬竞速/Hotshot Racing,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/BNZNny2Ybmyy""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1J5MT0VpBDtKbqf7cmrrhEA""},{""其他了"":""提取码：9jeb""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
WARBORN,https://lingdiankj.cn/plus/view.php?aid=3120,826236,https://cloud.189.cn/t/M7r26jqAfuqe,https://pan.baidu.com/s/1d79PnQHVsSpS76o_5gX8JQ,天翼/迅雷下载方法：,WARBORN,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/M7r26jqAfuqe""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1d79PnQHVsSpS76o_5gX8JQ""},{""其他了"":""提取码：5luu""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
鬼武者1/初代/HD/高清重置版/复刻版（Onimusha: Warlords）,https://lingdiankj.cn/plus/view.php?aid=3464,326655,https://pan.baidu.com/s/1d3--oBx_BW_NiV5ExA6JJg,https://pan.baidu.com/s/14V3kGCEV8fqUX_Nqm1sdcQ,天翼/迅雷下载方法：,鬼武者1/初代/HD/高清重置版/复刻版（Onimusha: Warlords）,"[{""游戏类型"":""动作冒险""},{""游戏类型"":""格斗游戏""}]","[{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1d3--oBx_BW_NiV5ExA6JJg""},{""其他了"":""百度网盘赠品下载链接：https://pan.baidu.com/s/14V3kGCEV8fqUX_Nqm1sdcQ""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
纸兽：折叠版/Paper Beast - Folded Edition（v5628977）,https://lingdiankj.cn/plus/view.php?aid=2562,null,null,null,null,纸兽：折叠版/Paper Beast - Folded Edition（v5628977）,"[{""游戏类型"":""动作冒险""},{""游戏类型"":""模拟经营""}]","[{""其他了"":""天翼/迅雷下载链接：""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
没人会被炸掉/Keep Talking and Nobody Explodes,https://lingdiankj.cn/plus/view.php?aid=1973,196969,https://cloud.189.cn/t/r2AfyiAB7bYv,https://pan.baidu.com/s/1ArKXa9yEftYY2IWcvaF6BQ,天翼/迅雷下载方法：,没人会被炸掉/Keep Talking and Nobody Explodes,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/r2AfyiAB7bYv""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1ArKXa9yEftYY2IWcvaF6BQ""},{""其他了"":""提取码：bdmv""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
故乡的记忆：味缘篇,https://lingdiankj.cn/plus/view.php?aid=2539,552774,https://cloud.189.cn/t/i6ne6za2Ujmy,https://pan.baidu.com/s/1EzIXOlJC3v9QrxFxRZtt5w,天翼/迅雷下载方法：,故乡的记忆：味缘篇,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/i6ne6za2Ujmy""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1EzIXOlJC3v9QrxFxRZtt5w""},{""其他了"":""提取码：lrnm""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
莎木系列合集,https://lingdiankj.cn/plus/view.php?aid=1611,814688,https://cloud.189.cn/t/IbIRjen6faAr,https://pan.baidu.com/s/1Yv986vem49rIz0FzCCfRbw,天翼/迅雷下载方法：,莎木系列合集,[{"游戏类型":"动作冒险"}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/IbIRjen6faAr""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1Yv986vem49rIz0FzCCfRbw""},{""其他了"":""提取码：hmwd""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
仁王2/NIOH 2（V1.26完全版含联机补丁）,https://lingdiankj.cn/plus/view.php?aid=1875,413986,https://cloud.189.cn/t/naqYF33aEvUv,https://pan.baidu.com/s/1Ptfa2I79GI7GQkoeHQYZjA,gxnc,仁王2/NIOH 2（V1.26完全版含联机补丁）,[{"游戏类型":"动作冒险"}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/naqYF33aEvUv""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1Ptfa2I79GI7GQkoeHQYZjA""},{""其他了"":""提取码：""},{""其他了"":""gxnc""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
阴暗地牢2/Devious Dungeon 2,https://lingdiankj.cn/plus/view.php?aid=2507,264394,https://cloud.189.cn/t/B7b2MrjQVBRb,https://pan.baidu.com/s/1pNR0_7oeTqG9axq0Pc33Zg,天翼/迅雷下载方法：,阴暗地牢2/Devious Dungeon 2,"[{""游戏类型"":""角色扮演""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/B7b2MrjQVBRb""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1pNR0_7oeTqG9axq0Pc33Zg? 提取码：escv""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
魔物毕业舞会/Monster Prom（v20200201）,https://lingdiankj.cn/plus/view.php?aid=2493,326996,https://cloud.189.cn/t/m2IB3q3IzUfe,https://pan.baidu.com/s/12IDCYlQ2gMhweB4cME8kKQ,天翼/迅雷下载方法：,魔物毕业舞会/Monster Prom（v20200201）,[{"游戏类型":"动作冒险"}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/m2IB3q3IzUfe""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/12IDCYlQ2gMhweB4cME8kKQ? 提取码：rfes""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
求生之路2/Left 4 Dead 2（整合背水一战DLC）,https://lingdiankj.cn/plus/view.php?aid=1630,382988,https://cloud.189.cn/t/QruqieuEz2Qn,https://pan.baidu.com/s/1WR55BGAtPp0r3UWeyoLm8w,天翼/迅雷下载方法：,求生之路2/Left 4 Dead 2（整合背水一战DLC）,"[{""游戏类型"":""射击游戏""},{""游戏类型"":""动作冒险""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/QruqieuEz2Qn""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1WR55BGAtPp0r3UWeyoLm8w提取码：436a""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
警察追捕/Police Chase（v5521212）,https://lingdiankj.cn/plus/view.php?aid=2171,519937,https://cloud.189.cn/t/BzMnaeM36re2,https://pan.baidu.com/s/1Cu_J8Eq4fSC2jW5N4VX50w,天翼/迅雷下载方法：,警察追捕/Police Chase（v5521212）,[{"游戏类型":""}],"[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/BzMnaeM36re2""},{""其他了"":""百度网盘下载链接：https://pan.baidu.com/s/1Cu_J8Eq4fSC2jW5N4VX50w""},{""其他了"":""提取码：fxt6""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
通勤：地铁站/Overcrowd: A Commute Em Up,https://lingdiankj.cn/plus/view.php?aid=3491,987888,https://pan.baidu.com/s/1MysLxVDVwL8YyRyRiK6XrA,null,百度网盘下载方法：,通勤：地铁站/Overcrowd: A Commute Em Up,[{"游戏类型":""}],"[{""其他了"":""百度下载链接：https://pan.baidu.com/s/1MysLxVDVwL8YyRyRiK6XrA""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
红脖子艾德：太空怪兽秀/Redneck Ed: Astro Monsters Show,https://lingdiankj.cn/plus/view.php?aid=2782,981167,https://cloud.189.cn/t/uQZF7freMJ7n,https://pan.baidu.com/s/1koAAWVhQ-JyDk-LuHexkcg,天翼/迅雷下载方法：,红脖子艾德：太空怪兽秀/Redneck Ed: Astro Monsters Show,"[{""游戏类型"":""动作冒险""},{""游戏类型"":""街机游戏""}]","[{""其他了"":""天翼/迅雷下载链接：https://cloud.189.cn/t/uQZF7freMJ7n""},{""其他了"":""百度网盘下载链接：""},{""其他了"":""https://pan.baidu.com/s/1koAAWVhQ-JyDk-LuHexkcg 提取码：rhgv""},{""其他了"":""天翼/迅雷下载方法：""},{""其他了"":""百度网盘下载方法：""},{""其他了"":""点我查看""}]"
